0.0737616039166028-0.0042447597548699i,0.072515028018694-0.00467274013579507i,0.0715234789263281-0.00513700132418593i,0.0706988882468657-0.00509749612014937i,0.0711723956680349-0.00382406271615153i,0.0713980158963484-0.00313998746350099i,0.0720677842203571-0.003138466037967i,0.0730683256800621-0.0031598696670016i,0.0750216193950731-0.00332940729646083i,0.0798973836599818-0.00458240275287197i
0.0727599126779307-0.00272107103256794i,0.0709273700069319-0.00360927343410066i,0.0697890275644514-0.00387669608494469i,0.0690922797750176-0.0039532766383577i,0.0691080641453232-0.0040047908349443i,0.0702571257393152-0.00256643558114409i,0.0712678810027458-0.00214016366260855i,0.0721318487056496-0.00234969420900091i,0.0737324653058969-0.00262532582397112i,0.0783906420794205-0.00349033658751544i
0.0721289000736128-0.00197670328014429i,0.069944086682013-0.00251036771025504i,0.0687513838568844-0.00259338420377135i,0.0679251171286866-0.00268484424202646i,0.0674413541845761-0.00245205744974498i,0.0696183996699823-0.00169188296376964i,0.0706033153728938-0.0014097024156577i,0.0714738194053174-0.00159270495708239i,0.0729559302533601-0.00180869508211859i,0.0773189572078587-0.00256518724964836i
0.0716329497502772-0.00159195272652841i,0.0693439711406587-0.0018585968043982i,0.0683627010483056-0.00182189106525431i,0.0674468226040902-0.00188239459794371i,0.0673569688377884-0.00160901152861972i,0.069471892497225-0.00112242694654621i,0.0704618802144593-0.00122176779355836i,0.0714388406069372-0.00113262066795358i,0.0728325550304907-0.00134388701551891i,0.0768700731391268-0.00196855504229054i
0.0709287842810622-0.00163308723466837i,0.0685957028078485-0.001606153978237i,0.0674280360021773-0.00151286717962091i,0.0666799494953795-0.00162004591686514i,0.0665154269752365-0.00131554133470086i,0.0689076358778326-0.00105704641311589i,0.0698157700370182-0.0010352262323758i,0.0707903979871162-0.00115147567119088i,0.0722529439859748-0.00146715077708804i,0.0758154394289511-0.00204557054929528i
0.0703762259005149-0.00186751617872131i,0.0682079487490558-0.00181640859857135i,0.0670310571769328-0.00177183185854762i,0.0662124654301208-0.00162094273019335i,0.0661121048876039-0.00151080087201924i,0.0685853426917873-0.00152066409334067i,0.0696302370968708-0.00150931000464834i,0.0705387423659637-0.00166133183749096i,0.0717343240938707-0.00188886202488499i,0.0751516560799676-0.00259169199439792i
0.069666741584076-0.00256460179680326i,0.0676248011668653-0.00210106060875108i,0.0663737940455101-0.00218999819862906i,0.0657137710264692-0.00191861745463196i,0.065785255194076-0.00177352704770532i,0.0682474217379414-0.0021407322613206i,0.0691785945885178-0.00223662042257908i,0.0697936639312033-0.00219761648496079i,0.0711747906429009-0.00242427454152636i,0.0743029988973962-0.00325861382782621i
0.0679492139240625-0.00395862228695418i,0.0661074267158218-0.00355008139000406i,0.065099770870883-0.00328937785461551i,0.0645866772671893-0.00299004269850816i,0.0644686958767496-0.00288350367424481i,0.0665416582143954-0.00319886317532236i,0.0673892260016177-0.00362012327131711i,0.0682645766527134-0.00365407224542071i,0.0695080420051006-0.00390120904392991i,0.0718121322844877-0.00487157067449364i
0.0656376474729833-0.00510500427591508i,0.0641540428122465-0.0045102354343808i,0.0634008851905184-0.00406133947446499i,0.0628176604077655-0.0037827541105206i,0.0628488031022526-0.00375658335769545i,0.064526891447636-0.00417806758464665i,0.0654781410961644-0.00447554661026571i,0.0662175173600608-0.00472439940055661i,0.0671910217340736-0.00511944676688285i,0.0690787585298872-0.00579048373302368i
0.0628049190988133-0.00575466868160945i,0.0617993616451197-0.00505295846918938i,0.0612678736744352-0.00472900466619303i,0.060854333004418-0.00433410872713088i,0.0608574759277044-0.00430572168390181i,0.06231239521067-0.00476784615948185i,0.0630279615201435-0.00509290613915569i,0.0635709428709568-0.00520875670567546i,0.0644220550560635-0.00557861614813495i,0.0659657518884577-0.00602321477983958i
0.059050489074724-0.005806416519324i,0.0583684350667791-0.00517366646434893i,0.0579945959466751-0.00479595421460511i,0.0578290650175594-0.0045646279162373i,0.0580256522751445-0.00431192115143035i,0.0590120334505133-0.00493289560047244i,0.0596177733781327-0.00510894535481076i,0.0601543472750486-0.00520184743696733i,0.0607122723049997-0.00540744037577424i,0.062121587189595-0.00570773706629642i
0.0563711913582815-0.00515232903435933i,0.0559249996052978-0.00469802689201677i,0.0558195091078807-0.00437726175866161i,0.0556827788315977-0.00432859526065551i,0.0557875111822624-0.00418535366572799i,0.0566547679886895-0.00446248109401162i,0.0571435121209085-0.00454657741906462i,0.0576328011159104-0.00464091782177174i,0.0583271296068963-0.00476110453073223i,0.0595595321558652-0.00479434459895419i
0.0539979243024631-0.00426332825900522i,0.053794829653391-0.00408327045402193i,0.0537661591170058-0.00374717310426377i,0.0536588299973407-0.00361796010400428i,0.0539214986305173-0.00354094486842479i,0.0546246480928253-0.00380993294724478i,0.0551377087370546-0.00378788556278057i,0.0556377112323802-0.00387199944545277i,0.0563142560448743-0.00390102272680932i,0.0575922764717549-0.00394768644976072i
0.0518044643447616-0.00294310283190226i,0.0517065776433159-0.00274248597587202i,0.0517030610165505-0.00265376865595511i,0.0518179457596316-0.00255273186256166i,0.0520863730100775-0.00240113323467086i,0.0526812018485542-0.00255640337463655i,0.0532260447701959-0.00262093854255823i,0.0536296561111392-0.00265148433028005i,0.0542157901792984-0.00268087705312189i,0.0556314750915696-0.00284286813976475i
